Brand,Model,JobCategory,Storage,BatteryEstimate,Display,Portability,PriceRange,CPU,RAM,Price_ILS_Estimated,URL
HP,15s (i3 8GB),"Basic Budget (Receptionist, Call-center Agent, Cashier)",256 GB SSD,Good 7-9h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Budget,Intel Core i3,8 GB,2300,https://mt.studio.ps/en/shop/hp-15s-fq5093nj-i3-12th-8gb-ram-256gb-ssd-10041?category=160&order=create_date+desc
HP,15s (i5 16GB),"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 7-9h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Lower midrange,Intel Core i5,16 GB,3500,https://old.studio.ps/en/shop/hp-15s-fq5095nj-i5-12th-16gb-ram-512gb-nvme-10045
HP,Pavilion 15 (i7),"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Average 6-8h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Midrange,Intel Core i7,8 GB ,5200,https://www.homeplus.ps/item/32356
HP,Pavilion x360 15,"2 in 1 Convertible (Note taker, Presenter, Field Worker)",512 GB SSD,Average 6-8h,15.6-inch FHD touch,Medium 1.6-2.0kg,Midrange,Unknown,8 GB ,3000,https://alqudsit.ps/products/hp-pavilion-15
HP,Envy 15 (i7 RTX),"Creator (Content Creator, Graphic Designer, Photographer)",512 GB SSD,Average 5-7h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Upper midrange,Intel Core i7,8 GB ,5200,https://HP-Victus-15-FA1097NE-Gaming-Laptop-Intel-Core-i7-13700H-�-16GB-512GB�RTX-4050-6GB-�-15.6-�-EXTREME-GAMING-STORE
HP,Victus 15 (GTX/RTX),"Entry Gaming (Casual Gamer, Student Gamer, Stream Beginner)",512 GB SSD,High drain 3-6h,15.6-inch FHD 144Hz,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,6500,https://mt.studio.ps/shop/hp-victus-15-fa0033-gaming-coretm-i5-13450h-512gb-ssd-16gb-15-6-1920x1080-144hz-win11-nvidia-r-rtx-3050-6gb-backlit-keyboard-13558
HP,Victus 16 (RTX),"Gaming (Gamer, Streamer, Esports)",512 GB SSD,High drain 3-6h,16.1-inch FHD 144Hz,Heavy >2.0kg,Midrange,Unknown,16 GB,6500,https://mt.studio.ps/shop/hp-victus-laptop-i7-13th-16gb-ram-512gb-ssd-rtx-4050-6g-16-1-inch-144hz-13560
HP,Omen 16,"High-end Gaming (Competitive Gamer, Streamer, Game Dev)",1 TB SSD,High drain 3-6h,16.1-inch FHD QHD high refresh,Heavy >2.0kg,Upper midrange,Unknown,16 GB,3000,https://estore.jawwal.ps/laptop-omen-by-hp-gaming-16-wd0005ne-161-inch-intel-core-i7
HP,ProBook 450 G10,"Business Pro (Accountant, Manager, Sales Rep)",512 GB SSD,Good 8-10h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Midrange,Unknown,4 GB,3000,https://estore.jawwal.ps/laptop-hp-probook-450-g10-156-inch-intel-core-i7
HP,EliteBook 840 G10,"Business Pro (Accountant, Manager, Sales Rep)",1 TB SSD,Excellent 9-12h,14-inch FHD IPS,Light 1.3-1.6kg,Upper midrange,Unknown,8 GB,3000,https://estore.jawwal.ps/laptop-hp-elitebook-840-g10-intel-core-i7
HP,Spectre x360 16,"Premium 2 in 1 (Executive, Designer, Presenter)",1 TB SSD,Good 8-10h,16-inch OLED touch,Medium 1.6-2.0kg,Premium,Unknown,16 GB,3000,https://www.facebook.com/100063483433356/posts/%D8%B3%D8%B9%D8%B1-1700hp-spectre-x360intelr-coretm-i7-1065g7-cpu-130ghz-150ram-8ssd-m2-5120594/1261937642599005/
Dell,Inspiron 14 5000,"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 8-10h,14-inch FHD IPS,Light 1.3-1.6kg,Lower midrange,Unknown,4 GB,3000,https://watanimall.com/product/laptop-dell-inspiron-5406-2in1-touch-w10-gray/
Dell,Inspiron 2-in-1 (14?),"2 in 1 Convertible (Note taker, Presenter, Field Worker)",1 TB SSD,Average 6-8h,14-inch FHD touch,Medium 1.6-2.0kg,Midrange,Unknown,4 GB,3000,https://mt.studio.ps/shop/category/computers-laptop-pc-266?utm_source=chatgpt.com
Dell,Vostro 15 3000,"Business Office (HR Assistant, Office Manager, Clerk)",512 GB SSD,Good 7-9h,15.6-inch FHD,Medium 1.6-2.0kg,Budget,Unknown,8 GB ,3000,https://watanimall.com/product/laptop-dell-vostro-15-3501-1003/?utm_source=chatgpt.com
Dell,Vostro 15 5000,"Business Pro (Accountant, Manager, Sales Rep)",512 GB SSD,Good 8-10h,15.6-inch FHD IPS,Medium 1.6-2.0kg,Lower midrange,Unknown,8 GB ,3000,https://www.alqudsit.ps/products/dell-vostro?utm_source=chatgpt.com
Lenovo,IdeaPad 3 15 (i5),"Student/Office (Student, Teacher, Office Admin)",512 GB SSD,Good 7-9h,15.6-inch FHD,Medium 1.6-2.0kg,Budget,Intel Core i5,8 GB ,3500,https://watanimall.com/product/laptop-lenovo-ip3-15-6%E2%80%B3-i5-12450h-ssd512-ram16-dos-grey/
Lenovo,IdeaPad 5 14 ,"Student/Office (Student, Teacher, Office Admin)",256 GB SSD,Good 8-10h,14-inch FHD IPS,Light 1.3-1.6kg,Lower midrange,Unknown,4 GB,3000,https://watanimall.com/product/laptop-lenovo-ideadpad-5-14itl-82fe00hciv-grey/
